date,category,series,chiffre
1,Care home,5 year average,2756
2,Care home,5 year average,2917
3,Care home,5 year average,2968
4,Care home,5 year average,2850
5,Care home,5 year average,2805
6,Care home,5 year average,2626
7,Care home,5 year average,2659
8,Care home,5 year average,2603
9,Care home,5 year average,2540
10,Care home,5 year average,2536
11,Care home,5 year average,2443
12,Care home,5 year average,2331
13,Care home,5 year average,2280
14,Care home,5 year average,2212
15,Care home,5 year average,2180
16,Care home,5 year average,2154
1,Home,5 year average,2890
2,Home,5 year average,2816
3,Home,5 year average,2752
4,Home,5 year average,2693
5,Home,5 year average,2740
6,Home,5 year average,2666
7,Home,5 year average,2636
8,Home,5 year average,2587
9,Home,5 year average,2604
10,Home,5 year average,2588
11,Home,5 year average,2505
12,Home,5 year average,2459
13,Home,5 year average,2403
14,Home,5 year average,2420
15,Home,5 year average,2381
16,Home,5 year average,2344
1,Hospital,5 year average,6230
2,Hospital,5 year average,6307
3,Hospital,5 year average,6052
4,Hospital,5 year average,5791
5,Hospital,5 year average,5695
6,Hospital,5 year average,5559
7,Hospital,5 year average,5544
8,Hospital,5 year average,5402
9,Hospital,5 year average,5349
10,Hospital,5 year average,5313
11,Hospital,5 year average,5171
12,Hospital,5 year average,5034
13,Hospital,5 year average,4971
14,Hospital,5 year average,4946
15,Hospital,5 year average,4922
16,Hospital,5 year average,4787
11,Care home,2020,2471
12,Care home,2020,2335
13,Care home,2020,2489
14,Care home,2020,3769
15,Care home,2020,4927
11,Home,2020,2725
12,Home,2020,2709
13,Home,2020,2786
14,Home,2020,3865
15,Home,2020,4117
11,Hospital,2020,4975
12,Hospital,2020,4770
13,Hospital,2020,5105
14,Hospital,2020,7884
15,Hospital,2020,8578
16,Home,2020,4570
16,Hospital,2020,9434
16,Care home,2020,7316
