date,category,series,chiffre
week 10,Care home,5 year average,2536
week 11,Care home,5 year average,2443
week 12,Care home,5 year average,2331
week 13,Care home,5 year average,2280
week 14,Care home,5 year average,2212
week 15,Care home,5 year average,2180
week 16,Care home,5 year average,2154
week 17,Care home,5 year average,2070
week 18,Care home,5 year average,2019
week 19,Care home,5 year average,2017
week 20,Care home,5 year average,1993
week 21,Care home,5 year average,2015
week 22,Care home,5 year average,1927
week 10,Elsewhere,5 year average,198
week 11,Elsewhere,5 year average,196
week 12,Elsewhere,5 year average,193
week 13,Elsewhere,5 year average,209
week 14,Elsewhere,5 year average,198
week 15,Elsewhere,5 year average,198
week 16,Elsewhere,5 year average,195
week 17,Elsewhere,5 year average,212
week 18,Elsewhere,5 year average,202
week 19,Elsewhere,5 year average,196
week 20,Elsewhere,5 year average,200
week 21,Elsewhere,5 year average,189
week 22,Elsewhere,5 year average,192
week 10,Home,5 year average,2588
week 11,Home,5 year average,2505
week 12,Home,5 year average,2459
week 13,Home,5 year average,2403
week 14,Home,5 year average,2420
week 15,Home,5 year average,2381
week 16,Home,5 year average,2344
week 17,Home,5 year average,2282
week 18,Home,5 year average,2273
week 19,Home,5 year average,2332
week 20,Home,5 year average,2263
week 21,Home,5 year average,2289
week 22,Home,5 year average,2217
week 10,Hospice,5 year average,576
week 11,Hospice,5 year average,557
week 12,Hospice,5 year average,549
week 13,Hospice,5 year average,561
week 14,Hospice,5 year average,551
week 15,Hospice,5 year average,540
week 16,Hospice,5 year average,570
week 17,Hospice,5 year average,542
week 18,Hospice,5 year average,566
week 19,Hospice,5 year average,561
week 20,Hospice,5 year average,564
week 21,Hospice,5 year average,564
week 22,Hospice,5 year average,554
week 10,Hospital,5 year average,5313
week 11,Hospital,5 year average,5171
week 12,Hospital,5 year average,5034
week 13,Hospital,5 year average,4971
week 14,Hospital,5 year average,4946
week 15,Hospital,5 year average,4922
week 16,Hospital,5 year average,4787
week 17,Hospital,5 year average,4689
week 18,Hospital,5 year average,4652
week 19,Hospital,5 year average,4599
week 20,Hospital,5 year average,4485
week 21,Hospital,5 year average,4402
week 22,Hospital,5 year average,4284
week 10,Other communal establishment,5 year average,35
week 11,Other communal establishment,5 year average,38
week 12,Other communal establishment,5 year average,45
week 13,Other communal establishment,5 year average,38
week 14,Other communal establishment,5 year average,37
week 15,Other communal establishment,5 year average,39
week 16,Other communal establishment,5 year average,36
week 17,Other communal establishment,5 year average,34
week 18,Other communal establishment,5 year average,34
week 19,Other communal establishment,5 year average,30
week 20,Other communal establishment,5 year average,33
week 21,Other communal establishment,5 year average,33
week 22,Other communal establishment,5 year average,33
week 11,Care home,2020,2471
week 12,Care home,2020,2335
week 13,Care home,2020,2489
week 14,Care home,2020,3769
week 15,Care home,2020,4927
week 11,Elsewhere,2020,249
week 12,Elsewhere,2020,238
week 13,Elsewhere,2020,225
week 14,Elsewhere,2020,272
week 15,Elsewhere,2020,301
week 11,Home,2020,2725
week 12,Home,2020,2709
week 13,Home,2020,2786
week 14,Home,2020,3865
week 15,Home,2020,4117
week 11,Hospice,2020,553
week 12,Hospice,2020,551
week 13,Hospice,2020,504
week 14,Hospice,2020,544
week 15,Hospice,2020,510
week 11,Hospital,2020,4975
week 12,Hospital,2020,4770
week 13,Hospital,2020,5105
week 14,Hospital,2020,7884
week 15,Hospital,2020,8578
week 11,Other communal establishment,2020,44
week 12,Other communal establishment,2020,43
week 13,Other communal establishment,2020,33
week 14,Other communal establishment,2020,53
week 15,Other communal establishment,2020,83
