date,category,series,chiffre
week 1,Care home,5 year average,2756
week 2,Care home,5 year average,2917
week 3,Care home,5 year average,2968
week 4,Care home,5 year average,2850
week 5,Care home,5 year average,2805
week 6,Care home,5 year average,2626
week 7,Care home,5 year average,2659
week 8,Care home,5 year average,2603
week 9,Care home,5 year average,2540
week 10,Care home,5 year average,2536
week 11,Care home,5 year average,2443
week 12,Care home,5 year average,2331
week 13,Care home,5 year average,2280
week 14,Care home,5 year average,2212
week 15,Care home,5 year average,2180
week 16,Care home,5 year average,2154
week 17,Care home,5 year average,2070
week 18,Care home,5 year average,2019
week 19,Care home,5 year average,2017
week 20,Care home,5 year average,1993
week 21,Care home,5 year average,2015
week 22,Care home,5 year average,1927
week 23,Care home,5 year average,1888
week 24,Care home,5 year average,1896
week 25,Care home,5 year average,1967
week 26,Care home,5 year average,1879
week 27,Care home,5 year average,1963
week 28,Care home,5 year average,1835
week 29,Care home,5 year average,1964
week 30,Care home,5 year average,1962
week 31,Care home,5 year average,1829
week 32,Care home,5 year average,1936
week 33,Care home,5 year average,1935
week 34,Care home,5 year average,1948
week 35,Care home,5 year average,1909
week 36,Care home,5 year average,1942
week 37,Care home,5 year average,1951
week 38,Care home,5 year average,1985
week 39,Care home,5 year average,2056
week 40,Care home,5 year average,2085
week 41,Care home,5 year average,2218
week 42,Care home,5 year average,2204
week 43,Care home,5 year average,2160
week 44,Care home,5 year average,2271
week 45,Care home,5 year average,2282
week 46,Care home,5 year average,2287
week 47,Care home,5 year average,2282
week 48,Care home,5 year average,2351
week 49,Care home,5 year average,2464
week 50,Care home,5 year average,2509
week 51,Care home,5 year average,2648
week 52,Care home,5 year average,2858
week 1,Home,5 year average,2890
week 2,Home,5 year average,2816
week 3,Home,5 year average,2752
week 4,Home,5 year average,2693
week 5,Home,5 year average,2740
week 6,Home,5 year average,2666
week 7,Home,5 year average,2636
week 8,Home,5 year average,2587
week 9,Home,5 year average,2604
week 10,Home,5 year average,2588
week 11,Home,5 year average,2505
week 12,Home,5 year average,2459
week 13,Home,5 year average,2403
week 14,Home,5 year average,2420
week 15,Home,5 year average,2381
week 16,Home,5 year average,2344
week 17,Home,5 year average,2282
week 18,Home,5 year average,2273
week 19,Home,5 year average,2332
week 20,Home,5 year average,2263
week 21,Home,5 year average,2289
week 22,Home,5 year average,2217
week 23,Home,5 year average,2204
week 24,Home,5 year average,2238
week 25,Home,5 year average,2234
week 26,Home,5 year average,2215
week 27,Home,5 year average,2246
week 28,Home,5 year average,2174
week 29,Home,5 year average,2204
week 30,Home,5 year average,2247
week 31,Home,5 year average,2169
week 32,Home,5 year average,2187
week 33,Home,5 year average,2178
week 34,Home,5 year average,2201
week 35,Home,5 year average,2172
week 36,Home,5 year average,2133
week 37,Home,5 year average,2212
week 38,Home,5 year average,2217
week 39,Home,5 year average,2246
week 40,Home,5 year average,2301
week 41,Home,5 year average,2350
week 42,Home,5 year average,2338
week 43,Home,5 year average,2368
week 44,Home,5 year average,2383
week 45,Home,5 year average,2407
week 46,Home,5 year average,2479
week 47,Home,5 year average,2472
week 48,Home,5 year average,2527
week 49,Home,5 year average,2596
week 50,Home,5 year average,2657
week 51,Home,5 year average,2706
week 52,Home,5 year average,2803
week 1,Hospital,5 year average,6230
week 2,Hospital,5 year average,6307
week 3,Hospital,5 year average,6052
week 4,Hospital,5 year average,5791
week 5,Hospital,5 year average,5695
week 6,Hospital,5 year average,5559
week 7,Hospital,5 year average,5544
week 8,Hospital,5 year average,5402
week 9,Hospital,5 year average,5349
week 10,Hospital,5 year average,5313
week 11,Hospital,5 year average,5171
week 12,Hospital,5 year average,5034
week 13,Hospital,5 year average,4971
week 14,Hospital,5 year average,4946
week 15,Hospital,5 year average,4922
week 16,Hospital,5 year average,4787
week 17,Hospital,5 year average,4689
week 18,Hospital,5 year average,4652
week 19,Hospital,5 year average,4599
week 20,Hospital,5 year average,4485
week 21,Hospital,5 year average,4402
week 22,Hospital,5 year average,4284
week 23,Hospital,5 year average,4322
week 24,Hospital,5 year average,4251
week 25,Hospital,5 year average,4258
week 26,Hospital,5 year average,4140
week 27,Hospital,5 year average,4250
week 28,Hospital,5 year average,4106
week 29,Hospital,5 year average,4139
week 30,Hospital,5 year average,4119
week 31,Hospital,5 year average,4022
week 32,Hospital,5 year average,4139
week 33,Hospital,5 year average,4130
week 34,Hospital,5 year average,4051
week 35,Hospital,5 year average,4095
week 36,Hospital,5 year average,4108
week 37,Hospital,5 year average,4182
week 38,Hospital,5 year average,4230
week 39,Hospital,5 year average,4354
week 40,Hospital,5 year average,4374
week 41,Hospital,5 year average,4471
week 42,Hospital,5 year average,4525
week 43,Hospital,5 year average,4466
week 44,Hospital,5 year average,4625
week 45,Hospital,5 year average,4703
week 46,Hospital,5 year average,4649
week 47,Hospital,5 year average,4714
week 48,Hospital,5 year average,4778
week 49,Hospital,5 year average,4978
week 50,Hospital,5 year average,5074
week 51,Hospital,5 year average,5330
week 52,Hospital,5 year average,5793
week 11,Care home,2020,2471
week 12,Care home,2020,2335
week 13,Care home,2020,2489
week 14,Care home,2020,3769
week 15,Care home,2020,4927
week 11,Home,2020,2725
week 12,Home,2020,2709
week 13,Home,2020,2786
week 14,Home,2020,3865
week 15,Home,2020,4117
week 11,Hospital,2020,4975
week 12,Hospital,2020,4770
week 13,Hospital,2020,5105
week 14,Hospital,2020,7884
week 15,Hospital,2020,8578
