name,group,SPDflows,Censusflows
Adur,grp1,914.2857143,934.2857143
Allerdale,grp1,-5585.714286,-5565.714286
Amber Valley,grp1,-5362.857143,-5342.857143
Arun,grp1,951.4285714,971.4285714
Ashfield,grp1,-868.5714286,-848.5714286
Ashford,grp1,-3060,-3040
Aylesbury Vale,grp1,-5920,-5900
Babergh,grp1,60,80
Barking and Dagenham,grp1,2920,2940
Barnet,grp1,2957.142857,2977.142857
Barnsley,grp1,2102.857143,2122.857143
Barrow-in-Furness,grp1,-5548.571429,-5528.571429
Basildon,grp1,-4360,-4340
Basingstoke and Deane,grp1,-3691.428571,-3671.428571
Bassetlaw,grp1,-831.4285714,-811.4285714
Bath and North East Somers,grp1,-7220,-7200
Bedford,grp1,-6031.428571,-6011.428571
Bexley,grp1,2994.285714,3014.285714
Birmingham,grp1,2400,2420
Blaby,grp1,-2168.571429,-2148.571429
Blackburn with Darwen,grp1,-7740,-7720
Blackpool,grp1,-7702.857143,-7682.857143
Blaenau Gwent,grp1,4702.857143,4722.857143
Bolsover,grp1,-5325.714286,-5305.714286
Bolton,grp1,1545.714286,1565.714286
Boston,grp1,-1908.571429,-1888.571429
Bournemouth,grp1,-6997.142857,-6977.142857
Bracknell Forest,grp1,-6700,-6680
Bradford,grp1,2660,2680
Braintree,grp1,-4322.857143,-4302.857143
Breckland,grp1,-1648.571429,-1628.571429
Brent,grp1,3031.428571,3051.428571
Brentwood,grp1,-4285.714286,-4265.714286
Bridgend,grp1,4517.142857,4537.142857
Brighton and Hove,grp1,-6440,-6420
"Bristol, City of",grp1,-7182.857143,-7162.857143
Broadland,grp1,-1611.428571,-1591.428571
Bromley,grp1,3068.571429,3088.571429
Bromsgrove,grp1,1174.285714,1194.285714
Broxbourne,grp1,-3282.857143,-3262.857143
Broxtowe,grp1,-794.2857143,-774.2857143
Burnley,grp1,-2614.285714,-2594.285714
Bury,grp1,1582.857143,1602.857143
Caerphilly,grp1,4665.714286,4685.714286
Calderdale,grp1,2697.142857,2717.142857
Cambridge,grp1,-5771.428571,-5751.428571
Camden,grp1,3105.714286,3125.714286
Cannock Chase,grp1,-237.1428571,-217.1428571
Canterbury,grp1,-3022.857143,-3002.857143
Cardiff,grp1,4591.428571,4611.428571
Carlisle,grp1,-5511.428571,-5491.428571
Carmarthenshire,grp1,4405.714286,4425.714286
Castle Point,grp1,-4248.571429,-4228.571429
Central Bedfordshire,grp1,-5994.285714,-5974.285714
