date,series,chiffre,lower,upper,category
Bangladeshi,Male,14.99,14.65,15.33,Cardiovascular
Bangladeshi,Female,13.97,13.7,14.25,Cardiovascular
Pakistani,Male,13.53,13.36,13.69,Cardiovascular
Pakistani,Female,13.2,13.05,13.36,Cardiovascular
Bangladeshi,Male,12.08,11.77,12.39,Metabolic
Indian,Male,11.98,11.88,12.08,Cardiovascular
Bangladeshi,Female,11.89,11.64,12.14,Metabolic
Black Caribbean ,Female,11.59,11.46,11.72,Cardiovascular
Other,Male,10.48,10.36,10.59,Cardiovascular
Black Caribbean ,Male,10.31,10.16,10.45,Cardiovascular
Pakistani,Female,10.14,10.01,10.28,Metabolic
Indian,Female,10.07,9.98,10.16,Cardiovascular
Black African,Male,9.94,9.76,10.13,Cardiovascular
White,Male,9.88,9.87,9.89,Cardiovascular
Pakistani,Male,9.88,9.74,10.02,Metabolic
Black African,Female,9.68,9.52,9.84,Cardiovascular
Mixed,Male,9.31,9.13,9.48,Cardiovascular
Other,Female,9.1,8.99,9.2,Cardiovascular
Mixed,Female,8.72,8.57,8.88,Cardiovascular
Pakistani,Female,8.55,8.44,8.66,Respiratory
White,Female,8.28,8.27,8.29,Cardiovascular
Indian,Male,7.35,7.27,7.43,Metabolic
Bangladeshi,Female,7.34,7.15,7.52,Respiratory
Bangladeshi,Male,7.27,7.05,7.5,Respiratory
Mixed,Female,6.86,6.75,6.98,Respiratory
Pakistani,Male,6.82,6.71,6.93,Respiratory
Black Caribbean ,Female,6.68,6.58,6.77,Respiratory
White,Female,6.5,6.49,6.51,Respiratory
Chinese,Male,6.44,6.25,6.62,Cardiovascular
Other,Male,6.23,6.14,6.32,Metabolic
Indian,Female,5.98,5.91,6.05,Metabolic
Black Caribbean ,Female,5.95,5.86,6.05,Metabolic
Black Caribbean ,Male,5.69,5.58,5.8,Metabolic
Chinese,Female,5.59,5.44,5.75,Cardiovascular
Indian,Female,5.3,5.24,5.37,Respiratory
Other,Female,5.26,5.19,5.33,Respiratory
Mixed,Male,5.2,5.08,5.32,Respiratory
Black African,Male,5.16,5.03,5.3,Metabolic
Black Caribbean ,Female,5.15,5.07,5.24,Cancer
Pakistani,Female,5.14,5.05,5.24,Musculoskeletal
White,Male,5.03,5.02,5.04,Respiratory
Other,Female,4.92,4.85,4.99,Metabolic
Indian,Male,4.9,4.84,4.96,Respiratory
Black Caribbean ,Male,4.67,4.58,4.76,Respiratory
Other,Male,4.51,4.44,4.59,Respiratory
Black African,Female,4.37,4.27,4.48,Metabolic
Bangladeshi,Female,4.29,4.13,4.44,Musculoskeletal
