date,series,chiffre,lower,upper,category
2018-19,A,0.857818346,0.650996666,3.685008538,21-24
2019-20,A,6.381306193,3.922659003,7.271019802,21-24
2020-21,A,18.71988325,17.55821121,23.1233808,21-24
2018-19,A,12.71114199,11.83420558,14.46433358,25-29
2019-20,A,9.153393788,8.442595224,14.12197456,25-29
2020-21,A,3.27982208,-1.565901672,7.006140317,25-29
2018-19,A,15.19936097,13.09590841,15.83246985,30-34
2019-20,A,2.817104808,1.794821437,7.092676362,30-34
2020-21,A,3.521742786,-0.097961946,6.505325644,30-34
2018-19,A,6.596628233,4.081821798,10.92877338,35-39
2019-20,A,1.480440208,-1.663787153,3.955409951,35-39
2020-21,A,4.418966364,3.937894004,4.545447755,35-39
2018-19,A,17.01879746,15.33881323,20.06022749,40-44
2019-20,A,11.98335933,11.67843202,16.84934079,40-44
2020-21,A,10.9138076,9.56489827,12.73966349,40-44
2018-19,A,4.650179647,3.712920947,5.28027723,45-49
2019-20,A,8.482847666,4.047234594,11.18150188,45-49
2020-21,A,11.63743085,8.982268533,15.4815248,45-49
2018-19,A,5.806359665,5.033814771,6.441133879,50-54
2019-20,A,13.46387514,13.0447748,14.79457916,50-54
2020-21,A,10.59303437,5.712674418,12.16293299,50-54
2018-19,A,16.10393159,15.058997,20.93560296,55-59
2019-20,A,18.28831102,15.93745958,19.71814841,55-59
2020-21,A,7.33178718,6.752380875,9.241645134,55-59
2018-19,A,4.359603828,2.68172335,5.103158933,60-64
2019-20,A,2.933437778,2.369383043,4.404659858,60-64
2020-21,A,7.604183574,7.243914076,8.599878642,60-64
2018-19,B,9.326343156,7.752870377,10.74940092,21-24
2019-20,B,5.104902012,4.562652877,7.255853646,21-24
2020-21,B,14.77414734,11.35418901,17.17579991,21-24
2018-19,B,4.431262223,0.594464049,6.106959362,25-29
2019-20,B,5.07425586,1.187543645,6.21913601,25-29
2020-21,B,5.579314681,5.427893278,10.3670049,25-29
2018-19,B,2.841757052,-1.778072219,7.185685762,30-34
2019-20,B,4.360515673,1.260188077,4.794565388,30-34
2020-21,B,13.99229713,12.49736293,14.19557503,30-34
2018-19,B,14.89396587,12.09319318,18.8613389,35-39
2019-20,B,0.830605101,0.543252331,2.589863323,35-39
2020-21,B,8.513985668,4.734199708,12.21497054,35-39
2018-19,B,7.518906447,6.468710203,11.68457597,40-44
2019-20,B,3.749905196,2.958785187,7.673291883,40-44
2020-21,B,13.00068042,9.969145084,14.14454111,40-44
2018-19,B,4.34212431,1.02600312,8.527408032,45-49
2019-20,B,4.492126087,2.382137714,6.604703251,45-49
2020-21,B,11.00081306,8.498258477,11.51454372,45-49
2018-19,B,14.17195996,13.95924206,16.89714926,50-54
2019-20,B,7.908396862,5.620349995,9.612296828,50-54
2020-21,B,16.85858033,13.59876769,19.28237957,50-54
2018-19,B,8.749233741,6.213797734,11.86937632,55-59
2019-20,B,6.123765485,6.069339927,7.876543962,55-59
2020-21,B,1.833831722,-2.317357825,6.174032994,55-59
2018-19,B,13.8801902,9.072862799,17.66359541,60-64
2019-20,B,5.157620515,1.480429393,7.957937265,60-64
2020-21,B,13.837342,8.983788563,18.08143437,60-64
