date,data1longerlabeltest,data2longerlabeltest,data3
1990,597.92,809.41,728.469
1991,605.86,818.39,736.551
1992,589.86,797.24,717.516
1993,575.3,777.12,699.408
1994,570,766.17,689.553
1995,562.04,760.61,684.549
1996,582.99,781.96,703.764
1997,557.57,756.96,681.264
1998,560.57,753.7,678.33
1999,553.05,722.86,650.574
2000,559.47,722.83,650.547
2001,568.02,725.36,652.824
2002,550.41,704.18,633.762
2003,561.3,710.87,639.783
2004,561.47,705.82,635.238
2005,557.79,696.6,626.94
2006,555.64,690.1,621.09
2007,546.74,677.23,609.507
2008,532.88,657.13,591.417
2009,482.22,598.58,538.722
2010,500.75,613.33,551.997
2011,457.53,566.22,509.598
2012,476.26,582.21,523.989
2013,467.47,568.35,511.515
